"SubjectId" "Activity" "Average Mean" "Average Stdev"
1 "LAYING" -0.323455253253035 -0.896699261804485
1 "SITTING" -0.313691418644093 -0.962531684925854
1 "STANDING" -0.329807395695265 -0.986798479817038
1 "WALKING" -0.0630281109061124 -0.302551798992919
1 "WALKING_DOWNSTAIRS" -0.0227044159765262 -0.263719603503896
1 "WALKING_UPSTAIRS" -0.220061320256538 -0.428436196561521
2 "LAYING" -0.317686797023163 -0.980492348554293
2 "SITTING" -0.332289072198594 -0.974113940790514
2 "STANDING" -0.347433790181932 -0.970481596212121
2 "WALKING" -0.114179113927288 -0.471518668508629
2 "WALKING_DOWNSTAIRS" -0.021518448934593 -0.199973200120761
2 "WALKING_UPSTAIRS" -0.144330765632429 -0.385997363253851
3 "LAYING" -0.329311704899499 -0.973555798352884
3 "SITTING" -0.337448385755142 -0.936746787346154
3 "STANDING" -0.384822561319684 -0.934573756328862
3 "WALKING" -0.146723905436615 -0.450988754712889
3 "WALKING_DOWNSTAIRS" -0.103690683953899 -0.35927889525865
3 "WALKING_UPSTAIRS" -0.216545041515258 -0.494763604117052
4 "LAYING" -0.34160939193638 -0.960841350255892
4 "SITTING" -0.347624027590802 -0.951483705307273
4 "STANDING" -0.36110914717926 -0.931971966691558
4 "WALKING" -0.173496321021866 -0.556813870101975
4 "WALKING_DOWNSTAIRS" -0.0988793667126918 -0.430345489469064
4 "WALKING_UPSTAIRS" -0.203624453184834 -0.481670281281346
5 "LAYING" -0.325751986313871 -0.97277492210373
5 "SITTING" -0.338854038692547 -0.952403047947934
5 "STANDING" -0.352433460987085 -0.923529957596862
5 "WALKING" -0.132745736101558 -0.426550893998593
5 "WALKING_DOWNSTAIRS" -0.0521627994884519 -0.256359233626873
5 "WALKING_UPSTAIRS" -0.137445683332812 -0.359295474612702
6 "LAYING" -0.32681358320484 -0.938894773891707
6 "SITTING" -0.334233410700225 -0.949510577900826
6 "STANDING" -0.362837071733135 -0.950810498112706
6 "WALKING" -0.0677195579213005 -0.359321371006842
6 "WALKING_DOWNSTAIRS" 0.0511985046698053 -0.0757123543931742
6 "WALKING_UPSTAIRS" -0.110811657701057 -0.290928021342602
7 "LAYING" -0.377964989394862 -0.951894384892075
7 "SITTING" -0.357370992429026 -0.939410998802399
7 "STANDING" -0.377407962870003 -0.954527409782733
7 "WALKING" -0.0592378069358638 -0.286082417455657
7 "WALKING_DOWNSTAIRS" -0.0701428743766744 -0.267075771251554
7 "WALKING_UPSTAIRS" -0.235367230509331 -0.493867277426738
8 "LAYING" -0.338572138418502 -0.953251137141975
8 "SITTING" -0.338990206451904 -0.965444231379447
8 "STANDING" -0.34725086733 -0.966665007124242
8 "WALKING" -0.0670888205112713 -0.258282654667929
8 "WALKING_DOWNSTAIRS" 0.0659086394850801 -0.088038872473445
8 "WALKING_UPSTAIRS" -0.0689728571630488 -0.243298670404065
9 "LAYING" -0.400077234567633 -0.944242142015576
9 "SITTING" -0.381660350246548 -0.928220936999515
9 "STANDING" -0.372340404657589 -0.950814844363636
9 "WALKING" -0.132786255297149 -0.420159775816509
9 "WALKING_DOWNSTAIRS" -0.0786924504722293 -0.264963539122641
9 "WALKING_UPSTAIRS" -0.232108556687312 -0.490629371223921
10 "LAYING" -0.349423254106792 -0.961084978136364
10 "SITTING" -0.326660018306513 -0.971721957250842
10 "STANDING" -0.354962717830232 -0.953572276081267
10 "WALKING" -0.0652096764060016 -0.330444040259886
10 "WALKING_DOWNSTAIRS" -0.00442432269108867 -0.217214895073397
10 "WALKING_UPSTAIRS" -0.115595270991491 -0.33138123899396
11 "LAYING" -0.321084181643608 -0.977547759728868
11 "SITTING" -0.331985684395492 -0.969903732115495
11 "STANDING" -0.331725608296725 -0.985657370773694
11 "WALKING" -0.196414997599323 -0.535503995110734
11 "WALKING_DOWNSTAIRS" -0.119360970381692 -0.343943666544796
11 "WALKING_UPSTAIRS" -0.262133168140511 -0.50198701766128
12 "LAYING" -0.346181298277446 -0.957088102540404
12 "SITTING" -0.353779184962101 -0.963695997290553
12 "STANDING" -0.362666108594095 -0.944561812874814
12 "WALKING" -0.091708818104787 -0.389277124734909
12 "WALKING_DOWNSTAIRS" -0.0524341572216453 -0.295167216690606
12 "WALKING_UPSTAIRS" -0.206513131694093 -0.494017099181002
13 "LAYING" -0.341344902939119 -0.967352157609971
13 "SITTING" -0.330858580124843 -0.971614675209029
13 "STANDING" -0.359154129274603 -0.973488324742158
13 "WALKING" -0.0675962994753852 -0.322358364868426
13 "WALKING_DOWNSTAIRS" -0.0625505042151411 -0.283386205699099
13 "WALKING_UPSTAIRS" -0.220902352389356 -0.454771797975796
14 "LAYING" -0.377265864033589 -0.934842463238265
14 "SITTING" -0.382171703951118 -0.960128611305275
14 "STANDING" -0.398158087615395 -0.955643634646465
14 "WALKING" -0.176905868079623 -0.39895837100264
14 "WALKING_DOWNSTAIRS" -0.00111780631937198 -0.0451783638523098
14 "WALKING_UPSTAIRS" -0.13868853938248 -0.154654281147419
15 "LAYING" -0.354966955685652 -0.962181718324916
15 "SITTING" -0.334594978376134 -0.97025459222907
15 "STANDING" -0.357778642157298 -0.966132857181246
15 "WALKING" -0.155127158995542 -0.446391143626077
15 "WALKING_DOWNSTAIRS" -0.0514333056068116 -0.209767527583023
15 "WALKING_UPSTAIRS" -0.189224013411902 -0.421318509545474
16 "LAYING" -0.374652594175958 -0.974313487683983
16 "SITTING" -0.328204314246887 -0.968810838932806
16 "STANDING" -0.353599522584432 -0.977221575462315
16 "WALKING" -0.195749442473649 -0.539749355518122
16 "WALKING_DOWNSTAIRS" -0.108160625031716 -0.333898926802489
16 "WALKING_UPSTAIRS" -0.256430536143018 -0.518665903063102
17 "LAYING" -0.333323148411336 -0.969502280717029
17 "SITTING" -0.328937096755581 -0.982201351581439
17 "STANDING" -0.352972202502985 -0.98342571462704
17 "WALKING" -0.160637552856418 -0.437683311620571
17 "WALKING_DOWNSTAIRS" -0.14430955806405 -0.349846604199914
17 "WALKING_UPSTAIRS" -0.208641784946765 -0.424126942064918
18 "LAYING" -0.312289482637439 -0.987915725314685
18 "SITTING" -0.318274278171631 -0.98682249891547
18 "STANDING" -0.374013642466282 -0.977252557799917
18 "WALKING" -0.191340848872038 -0.553086396517316
18 "WALKING_DOWNSTAIRS" -0.224655163055323 -0.52241384561708
18 "WALKING_UPSTAIRS" -0.294677557125408 -0.570427044938871
19 "LAYING" -0.336521050026196 -0.975283077013509
19 "SITTING" -0.364593055786933 -0.9708062616978
19 "STANDING" -0.369777101991605 -0.968736065118306
19 "WALKING" 0.0193714028414638 -0.166549887439714
19 "WALKING_DOWNSTAIRS" 0.152106171415608 0.102040595148446
19 "WALKING_UPSTAIRS" -0.0744350219336087 -0.309249674295568
20 "LAYING" -0.338680906715466 -0.971673243807487
20 "SITTING" -0.360149804951215 -0.962054556825528
